transaction_id,account_id,is_fraud_ring,is_behavioral_anomaly,is_fraud,fraud_type,fraud_ring_id
TXN_563eba15a6a2,ACC_280389155857,False,False,False,normal,
TXN_374bc470f573,ACC_280389155857,False,False,False,normal,
TXN_4130d9a16d8d,ACC_280389155857,False,False,False,normal,
TXN_ceabfa9df97c,ACC_280389155857,False,False,False,normal,
TXN_a7284b0c640a,ACC_280389155857,False,False,False,normal,
TXN_a3ce76c5f067,ACC_280389155857,False,False,False,normal,
TXN_24cebc4483b0,ACC_280389155857,False,False,False,normal,
TXN_6b9789eab63c,ACC_280389155857,False,False,False,normal,
TXN_7918d303640d,ACC_280389155857,False,False,False,normal,
TXN_265997ea5843,ACC_280389155857,False,False,False,normal,
TXN_0f5538fa32c5,ACC_b125f178d436,False,False,False,normal,
TXN_67619d3d81ac,ACC_b125f178d436,False,False,False,normal,
TXN_f4485c203577,ACC_b125f178d436,False,False,False,normal,
TXN_d4eb4fc2c19e,ACC_b125f178d436,False,False,False,normal,
TXN_46be53b74501,ACC_b125f178d436,False,False,False,normal,
TXN_1e6a2b6b08da,ACC_b125f178d436,False,False,False,normal,
TXN_b58b692b3f04,ACC_b125f178d436,False,False,False,normal,
TXN_26998a847304,ACC_b125f178d436,False,False,False,normal,
TXN_1c7fbccb94d3,ACC_b125f178d436,False,False,False,normal,
TXN_ea398a218bd4,ACC_b125f178d436,False,False,False,normal,
TXN_601f1207c87b,ACC_88fe7e5abf9c,False,False,False,normal,
TXN_e382d6745f30,ACC_88fe7e5abf9c,False,False,False,normal,
TXN_16857024dad6,ACC_88fe7e5abf9c,False,False,False,normal,
TXN_01d09bc437e8,ACC_88fe7e5abf9c,False,False,False,normal,
TXN_eb4c7a1b0ded,ACC_88fe7e5abf9c,False,False,False,normal,
TXN_1c1d2edf06c6,ACC_88fe7e5abf9c,False,False,False,normal,
TXN_2279ec05cf54,ACC_88fe7e5abf9c,False,False,False,normal,
TXN_c2ff1368b76f,ACC_88fe7e5abf9c,False,False,False,normal,
TXN_d9c8ca1ff139,ACC_88fe7e5abf9c,False,False,False,normal,
TXN_a8642ff98aaf,ACC_88fe7e5abf9c,False,False,False,normal,
TXN_e55c93d54b40,ACC_0d95406be8c2,False,False,False,normal,
TXN_51aaffcef988,ACC_0d95406be8c2,False,False,False,normal,
TXN_ae48a52170c3,ACC_0d95406be8c2,False,False,False,normal,
TXN_009e3d666086,ACC_0d95406be8c2,False,False,False,normal,
TXN_fd19b6192b29,ACC_0d95406be8c2,False,False,False,normal,
TXN_d9ac75e26543,ACC_0d95406be8c2,False,False,False,normal,
TXN_e30005805e94,ACC_0d95406be8c2,False,False,False,normal,
TXN_4f38ffcc07b7,ACC_0d95406be8c2,False,False,False,normal,
TXN_3d697a1663c7,ACC_0d95406be8c2,False,False,False,normal,
TXN_95294295e5fd,ACC_0d95406be8c2,False,False,False,normal,
TXN_294f2bba18af,ACC_cbfa619a88c8,False,False,False,normal,
TXN_3eab0a96db6b,ACC_cbfa619a88c8,False,False,False,normal,
TXN_3cf1e1156e9e,ACC_cbfa619a88c8,False,False,False,normal,
TXN_4a512dad6428,ACC_cbfa619a88c8,False,False,False,normal,
TXN_14f6a72b07da,ACC_cbfa619a88c8,False,False,False,normal,
TXN_e2f835619960,ACC_cbfa619a88c8,False,False,False,normal,
TXN_dd269144f96a,ACC_cbfa619a88c8,False,False,False,normal,
TXN_60d60bd13677,ACC_cbfa619a88c8,False,False,False,normal,
TXN_bf230d2ce5b7,ACC_cbfa619a88c8,False,False,False,normal,
TXN_18ad5f9cdce7,ACC_cbfa619a88c8,False,False,False,normal,
TXN_611b069cb269,ACC_48ff73924a0d,False,False,False,normal,
TXN_c6b1aa97cd30,ACC_48ff73924a0d,False,False,False,normal,
TXN_2e493738d546,ACC_48ff73924a0d,False,False,False,normal,
TXN_17cbfc20d2d2,ACC_48ff73924a0d,False,False,False,normal,
TXN_48dafa36515b,ACC_48ff73924a0d,False,False,False,normal,
TXN_63fdf1e93918,ACC_48ff73924a0d,False,False,False,normal,
TXN_0bf1f113351b,ACC_48ff73924a0d,False,False,False,normal,
TXN_4d70aa3ea0b6,ACC_48ff73924a0d,False,False,False,normal,
TXN_ce3485508426,ACC_48ff73924a0d,False,False,False,normal,
TXN_e3dbb8f245b5,ACC_48ff73924a0d,False,False,False,normal,
TXN_1a573d395e0e,ACC_3b84db8ace86,False,False,False,normal,
TXN_cac158942b65,ACC_3b84db8ace86,False,False,False,normal,
TXN_3f852af7bfa1,ACC_3b84db8ace86,False,False,False,normal,
TXN_6d8479842e67,ACC_3b84db8ace86,False,False,False,normal,
TXN_a44d561e1211,ACC_3b84db8ace86,False,False,False,normal,
TXN_5c4cac34cb91,ACC_3b84db8ace86,False,False,False,normal,
TXN_8aa87a4b4225,ACC_3b84db8ace86,False,False,False,normal,
TXN_2bc807214afb,ACC_3b84db8ace86,False,False,False,normal,
TXN_21c034a0d97d,ACC_3b84db8ace86,False,False,False,normal,
TXN_faa1edff909d,ACC_3b84db8ace86,False,False,False,normal,
TXN_bc4948741597,ACC_c3956fde3241,False,False,False,normal,
TXN_647478314a7b,ACC_c3956fde3241,False,False,False,normal,
